YEAR, M, D,    SST,   SSTA,     HS,    DHW, BAA
1994, 1, 1,  26.79,  -1.32,  -2.65,   0.00,   0
1994, 1, 2,  26.81,  -1.30,  -2.63,   0.00,   0
1994, 1, 3,  27.30,  -0.81,  -2.14,   0.00,   0
1994, 1, 4,  27.30,  -0.80,  -2.14,   0.00,   0
1994, 1, 5,  27.25,  -0.85,  -2.19,   0.00,   0
1994, 1, 6,  27.24,  -0.86,  -2.20,   0.00,   0
1994, 1, 7,  27.11,  -0.99,  -2.33,   0.00,   0
1994, 1, 8,  27.58,  -0.52,  -1.86,   0.00,   0
1994, 1, 9,  28.12,   0.02,  -1.32,   0.00,   0
1994, 1,10,  27.71,  -0.39,  -1.73,   0.00,   0
1994, 1,11,  27.82,  -0.28,  -1.62,   0.00,   0
1994, 1,12,  27.84,  -0.25,  -1.60,   0.00,   0
1994, 1,13,  27.93,  -0.16,  -1.51,   0.00,   0
1994, 1,14,  27.46,  -0.63,  -1.98,   0.00,   0
1994, 1,15,  27.45,  -0.64,  -1.99,   0.00,   0
1994, 1,16,  27.63,  -0.48,  -1.81,   0.00,   0
1994, 1,17,  27.80,  -0.33,  -1.64,   0.00,   0
1994, 1,18,  27.61,  -0.54,  -1.83,   0.00,   0
1994, 1,19,  27.59,  -0.58,  -1.85,   0.00,   0
1994, 1,20,  27.67,  -0.52,  -1.77,   0.00,   0
1994, 1,21,  27.66,  -0.55,  -1.78,   0.00,   0
1994, 1,22,  28.19,  -0.04,  -1.25,   0.00,   0
1994, 1,23,  28.06,  -0.19,  -1.38,   0.00,   0
1994, 1,24,  28.21,  -0.06,  -1.23,   0.00,   0
1994, 1,25,  28.29,   0.00,  -1.15,   0.00,   0
1994, 1,26,  28.37,   0.06,  -1.07,   0.00,   0
1994, 1,27,  28.63,   0.30,  -0.81,   0.00,   0
1994, 1,28,  28.69,   0.34,  -0.75,   0.00,   0
1994, 1,29,  29.03,   0.66,  -0.41,   0.00,   0
1994, 1,30,  28.91,   0.52,  -0.53,   0.00,   0
1994, 1,31,  28.56,   0.16,  -0.88,   0.00,   0
1994, 2, 1,  28.54,   0.12,  -0.90,   0.00,   0
1994, 2, 2,  28.18,  -0.26,  -1.26,   0.00,   0
1994, 2, 3,  28.85,   0.39,  -0.59,   0.00,   0
1994, 2, 4,  28.58,   0.10,  -0.86,   0.00,   0
1994, 2, 5,  28.57,   0.07,  -0.87,   0.00,   0
1994, 2, 6,  28.09,  -0.43,  -1.35,   0.00,   0
1994, 2, 7,  28.01,  -0.53,  -1.43,   0.00,   0
1994, 2, 8,  28.15,  -0.41,  -1.29,   0.00,   0
1994, 2, 9,  28.17,  -0.41,  -1.27,   0.00,   0
1994, 2,10,  28.33,  -0.27,  -1.11,   0.00,   0
1994, 2,11,  28.68,   0.06,  -0.76,   0.00,   0
1994, 2,12,  28.52,  -0.12,  -0.92,   0.00,   0
1994, 2,13,  28.14,  -0.52,  -1.30,   0.00,   0
1994, 2,14,  27.57,  -1.11,  -1.87,   0.00,   0
1994, 2,15,  27.42,  -1.28,  -2.02,   0.00,   0
1994, 2,16,  27.29,  -1.43,  -2.15,   0.00,   0
1994, 2,17,  27.39,  -1.34,  -2.05,   0.00,   0
1994, 2,18,  27.82,  -0.93,  -1.62,   0.00,   0
1994, 2,19,  27.64,  -1.12,  -1.80,   0.00,   0
1994, 2,20,  27.76,  -1.02,  -1.68,   0.00,   0
1994, 2,21,  27.82,  -0.97,  -1.62,   0.00,   0
1994, 2,22,  27.75,  -1.06,  -1.69,   0.00,   0
1994, 2,23,  28.47,  -0.35,  -0.97,   0.00,   0
1994, 2,24,  28.74,  -0.10,  -0.70,   0.00,   0
1994, 2,25,  28.85,  -0.00,  -0.59,   0.00,   0
1994, 2,26,  28.93,   0.06,  -0.51,   0.00,   0
1994, 2,27,  28.75,  -0.13,  -0.69,   0.00,   0
1994, 2,28,  29.29,   0.39,  -0.15,   0.00,   0
1994, 3, 1,  29.81,   0.90,   0.37,   0.00,   1
1994, 3, 2,  29.89,   0.96,   0.45,   0.00,   1
1994, 3, 3,  29.50,   0.55,   0.06,   0.00,   1
1994, 3, 4,  29.31,   0.35,  -0.13,   0.00,   0
1994, 3, 5,  29.98,   1.00,   0.54,   0.00,   1
1994, 3, 6,  29.82,   0.83,   0.38,   0.00,   1
1994, 3, 7,  29.83,   0.82,   0.39,   0.00,   1
1994, 3, 8,  30.41,   1.39,   0.97,   0.00,   1
1994, 3, 9,  30.38,   1.34,   0.94,   0.00,   1
1994, 3,10,  29.75,   0.70,   0.31,   0.00,   1
1994, 3,11,  29.00,  -0.07,  -0.44,   0.00,   0
1994, 3,12,  28.90,  -0.18,  -0.54,   0.00,   0
1994, 3,13,  29.09,  -0.01,  -0.35,   0.00,   0
1994, 3,14,  28.64,  -0.47,  -0.80,   0.00,   0
1994, 3,15,  28.32,  -0.81,  -1.12,   0.00,   0
1994, 3,16,  28.24,  -0.90,  -1.20,   0.00,   0
1994, 3,17,  28.55,  -0.60,  -0.89,   0.00,   0
1994, 3,18,  29.06,  -0.10,  -0.38,   0.00,   0
1994, 3,19,  29.11,  -0.06,  -0.33,   0.00,   0
1994, 3,20,  29.03,  -0.15,  -0.41,   0.00,   0
1994, 3,21,  28.74,  -0.45,  -0.70,   0.00,   0
1994, 3,22,  29.19,  -0.01,  -0.25,   0.00,   0
1994, 3,23,  29.43,   0.22,  -0.01,   0.00,   0
1994, 3,24,  29.09,  -0.13,  -0.35,   0.00,   0
1994, 3,25,  29.02,  -0.21,  -0.42,   0.00,   0
1994, 3,26,  28.99,  -0.25,  -0.45,   0.00,   0
1994, 3,27,  29.21,  -0.04,  -0.23,   0.00,   0
1994, 3,28,  29.54,   0.28,   0.10,   0.00,   1
1994, 3,29,  29.81,   0.54,   0.37,   0.00,   1
1994, 3,30,  29.80,   0.52,   0.36,   0.00,   1
1994, 3,31,  29.39,   0.10,  -0.05,   0.00,   0
1994, 4, 1,  29.59,   0.29,   0.15,   0.00,   1
1994, 4, 2,  29.50,   0.19,   0.06,   0.00,   1
1994, 4, 3,  29.84,   0.52,   0.40,   0.00,   1
1994, 4, 4,  30.08,   0.75,   0.64,   0.00,   1
1994, 4, 5,  30.46,   1.12,   1.02,   0.15,   2
1994, 4, 6,  30.35,   1.00,   0.91,   0.15,   1
1994, 4, 7,  29.92,   0.56,   0.48,   0.15,   1
1994, 4, 8,  29.37,   0.00,  -0.07,   0.15,   0
1994, 4, 9,  29.49,   0.11,   0.05,   0.15,   1
1994, 4,10,  29.55,   0.16,   0.11,   0.15,   1
1994, 4,11,  29.72,   0.32,   0.28,   0.15,   1
1994, 4,12,  29.51,   0.10,   0.07,   0.15,   1
1994, 4,13,  29.59,   0.17,   0.15,   0.15,   1
1994, 4,14,  29.51,   0.08,   0.07,   0.15,   1
1994, 4,15,  29.75,   0.31,   0.31,   0.15,   1
1994, 4,16,  29.56,   0.14,   0.12,   0.15,   1
1994, 4,17,  29.80,   0.41,   0.36,   0.15,   1
1994, 4,18,  30.09,   0.72,   0.65,   0.15,   1
1994, 4,19,  30.13,   0.79,   0.69,   0.15,   1
1994, 4,20,  30.00,   0.68,   0.56,   0.15,   1
1994, 4,21,  30.02,   0.72,   0.58,   0.15,   1
1994, 4,22,  30.07,   0.80,   0.63,   0.15,   1
1994, 4,23,  29.93,   0.68,   0.49,   0.15,   1
1994, 4,24,  29.75,   0.53,   0.31,   0.15,   1
1994, 4,25,  29.66,   0.46,   0.22,   0.15,   1
1994, 4,26,  29.08,  -0.10,  -0.36,   0.15,   0
1994, 4,27,  28.98,  -0.17,  -0.46,   0.15,   0
1994, 4,28,  29.24,   0.11,  -0.20,   0.15,   0
1994, 4,29,  29.23,   0.13,  -0.21,   0.15,   0
1994, 4,30,  29.15,   0.07,  -0.29,   0.15,   0
1994, 5, 1,  28.86,  -0.20,  -0.58,   0.15,   0
1994, 5, 2,  28.76,  -0.27,  -0.68,   0.15,   0
1994, 5, 3,  28.73,  -0.28,  -0.71,   0.15,   0
1994, 5, 4,  28.49,  -0.49,  -0.95,   0.15,   0
1994, 5, 5,  28.60,  -0.36,  -0.84,   0.15,   0
1994, 5, 6,  28.65,  -0.29,  -0.79,   0.15,   0
1994, 5, 7,  28.69,  -0.22,  -0.75,   0.15,   0
1994, 5, 8,  29.16,   0.27,  -0.28,   0.15,   0
1994, 5, 9,  29.35,   0.49,  -0.09,   0.15,   0
1994, 5,10,  28.99,   0.15,  -0.45,   0.15,   0
1994, 5,11,  28.43,  -0.39,  -1.01,   0.15,   0
1994, 5,12,  28.53,  -0.26,  -0.91,   0.15,   0
1994, 5,13,  28.45,  -0.32,  -0.99,   0.15,   0
1994, 5,14,  28.51,  -0.23,  -0.93,   0.15,   0
1994, 5,15,  28.53,  -0.19,  -0.91,   0.15,   0
1994, 5,16,  28.44,  -0.21,  -1.00,   0.15,   0
1994, 5,17,  28.52,  -0.07,  -0.92,   0.15,   0
1994, 5,18,  28.44,  -0.08,  -1.00,   0.15,   0
1994, 5,19,  28.38,  -0.07,  -1.06,   0.15,   0
