YEAR, M, D,    SST,   SSTA,     HS,    DHW, BAA
1994, 1, 1,  26.90,  -1.24,  -2.55,   0.00,   0
1994, 1, 2,  26.89,  -1.25,  -2.56,   0.00,   0
1994, 1, 3,  27.31,  -0.83,  -2.14,   0.00,   0
1994, 1, 4,  27.31,  -0.82,  -2.14,   0.00,   0
1994, 1, 5,  27.28,  -0.85,  -2.17,   0.00,   0
1994, 1, 6,  27.31,  -0.82,  -2.14,   0.00,   0
1994, 1, 7,  27.20,  -0.93,  -2.25,   0.00,   0
1994, 1, 8,  27.66,  -0.47,  -1.79,   0.00,   0
1994, 1, 9,  28.13,   0.01,  -1.32,   0.00,   0
1994, 1,10,  27.68,  -0.44,  -1.77,   0.00,   0
1994, 1,11,  27.86,  -0.26,  -1.59,   0.00,   0
1994, 1,12,  27.88,  -0.24,  -1.57,   0.00,   0
1994, 1,13,  27.99,  -0.12,  -1.46,   0.00,   0
1994, 1,14,  27.54,  -0.57,  -1.91,   0.00,   0
1994, 1,15,  27.54,  -0.57,  -1.91,   0.00,   0
1994, 1,16,  27.75,  -0.38,  -1.70,   0.00,   0
1994, 1,17,  27.90,  -0.25,  -1.55,   0.00,   0
1994, 1,18,  27.71,  -0.46,  -1.74,   0.00,   0
1994, 1,19,  27.68,  -0.51,  -1.77,   0.00,   0
1994, 1,20,  27.73,  -0.48,  -1.72,   0.00,   0
1994, 1,21,  27.79,  -0.44,  -1.66,   0.00,   0
1994, 1,22,  28.39,   0.14,  -1.06,   0.00,   0
1994, 1,23,  28.24,  -0.03,  -1.21,   0.00,   0
1994, 1,24,  28.38,   0.09,  -1.07,   0.00,   0
1994, 1,25,  28.47,   0.16,  -0.98,   0.00,   0
1994, 1,26,  28.52,   0.19,  -0.93,   0.00,   0
1994, 1,27,  28.76,   0.41,  -0.69,   0.00,   0
1994, 1,28,  28.79,   0.42,  -0.66,   0.00,   0
1994, 1,29,  29.09,   0.70,  -0.36,   0.00,   0
1994, 1,30,  28.97,   0.56,  -0.48,   0.00,   0
1994, 1,31,  28.63,   0.19,  -0.82,   0.00,   0
1994, 2, 1,  28.59,   0.13,  -0.86,   0.00,   0
1994, 2, 2,  28.27,  -0.21,  -1.18,   0.00,   0
1994, 2, 3,  29.05,   0.55,  -0.40,   0.00,   0
1994, 2, 4,  28.84,   0.32,  -0.61,   0.00,   0
1994, 2, 5,  28.86,   0.32,  -0.59,   0.00,   0
1994, 2, 6,  28.36,  -0.20,  -1.09,   0.00,   0
1994, 2, 7,  28.28,  -0.30,  -1.17,   0.00,   0
1994, 2, 8,  28.42,  -0.18,  -1.03,   0.00,   0
1994, 2, 9,  28.45,  -0.17,  -1.00,   0.00,   0
1994, 2,10,  28.59,  -0.05,  -0.86,   0.00,   0
1994, 2,11,  28.90,   0.24,  -0.55,   0.00,   0
1994, 2,12,  28.72,   0.04,  -0.73,   0.00,   0
1994, 2,13,  28.31,  -0.39,  -1.14,   0.00,   0
1994, 2,14,  27.72,  -1.00,  -1.73,   0.00,   0
1994, 2,15,  27.54,  -1.20,  -1.91,   0.00,   0
1994, 2,16,  27.41,  -1.34,  -2.04,   0.00,   0
1994, 2,17,  27.49,  -1.28,  -1.96,   0.00,   0
1994, 2,18,  27.89,  -0.90,  -1.56,   0.00,   0
1994, 2,19,  27.71,  -1.09,  -1.74,   0.00,   0
1994, 2,20,  27.81,  -1.01,  -1.64,   0.00,   0
1994, 2,21,  27.85,  -0.98,  -1.60,   0.00,   0
1994, 2,22,  27.78,  -1.07,  -1.67,   0.00,   0
1994, 2,23,  28.50,  -0.36,  -0.95,   0.00,   0
1994, 2,24,  28.76,  -0.11,  -0.69,   0.00,   0
1994, 2,25,  28.87,  -0.02,  -0.58,   0.00,   0
1994, 2,26,  28.93,   0.02,  -0.52,   0.00,   0
1994, 2,27,  28.75,  -0.17,  -0.70,   0.00,   0
1994, 2,28,  29.31,   0.38,  -0.14,   0.00,   0
