YEAR, M, D,    SST,   SSTA,     HS,    DHW, BAA
1994, 1, 1,  26.71,  -1.36,  -2.78,   0.00,   0
1994, 1, 2,  26.62,  -1.45,  -2.87,   0.00,   0
1994, 1, 3,  27.25,  -0.82,  -2.24,   0.00,   0
1994, 1, 4,  27.33,  -0.74,  -2.16,   0.00,   0
1994, 1, 5,  27.27,  -0.80,  -2.22,   0.00,   0
1994, 1, 6,  27.32,  -0.75,  -2.17,   0.00,   0
1994, 1, 7,  27.36,  -0.71,  -2.13,   0.00,   0
1994, 1, 8,  27.94,  -0.13,  -1.55,   0.00,   0
1994, 1, 9,  28.40,   0.33,  -1.09,   0.00,   0
1994, 1,10,  28.03,  -0.03,  -1.46,   0.00,   0
1994, 1,11,  28.31,   0.25,  -1.18,   0.00,   0
1994, 1,12,  28.28,   0.22,  -1.21,   0.00,   0
1994, 1,13,  28.29,   0.23,  -1.20,   0.00,   0
1994, 1,14,  27.82,  -0.24,  -1.67,   0.00,   0
1994, 1,15,  27.77,  -0.29,  -1.72,   0.00,   0
1994, 1,16,  27.86,  -0.22,  -1.63,   0.00,   0
1994, 1,17,  27.93,  -0.17,  -1.56,   0.00,   0
1994, 1,18,  27.65,  -0.47,  -1.84,   0.00,   0
1994, 1,19,  27.62,  -0.51,  -1.87,   0.00,   0
1994, 1,20,  27.70,  -0.45,  -1.79,   0.00,   0
1994, 1,21,  27.76,  -0.41,  -1.73,   0.00,   0
1994, 1,22,  28.36,   0.17,  -1.13,   0.00,   0
1994, 1,23,  28.14,  -0.07,  -1.35,   0.00,   0
1994, 1,24,  28.27,   0.04,  -1.22,   0.00,   0
1994, 1,25,  28.31,   0.07,  -1.18,   0.00,   0
1994, 1,26,  28.37,   0.11,  -1.12,   0.00,   0
1994, 1,27,  28.66,   0.38,  -0.83,   0.00,   0
1994, 1,28,  28.70,   0.40,  -0.79,   0.00,   0
1994, 1,29,  28.96,   0.64,  -0.53,   0.00,   0
1994, 1,30,  28.72,   0.38,  -0.77,   0.00,   0
1994, 1,31,  28.36,   0.01,  -1.13,   0.00,   0
1994, 2, 1,  28.35,  -0.02,  -1.14,   0.00,   0
1994, 2, 2,  28.02,  -0.37,  -1.47,   0.00,   0
1994, 2, 3,  28.83,   0.42,  -0.66,   0.00,   0
1994, 2, 4,  28.55,   0.12,  -0.94,   0.00,   0
1994, 2, 5,  28.57,   0.12,  -0.92,   0.00,   0
1994, 2, 6,  28.04,  -0.42,  -1.45,   0.00,   0
1994, 2, 7,  27.95,  -0.53,  -1.54,   0.00,   0
1994, 2, 8,  28.11,  -0.39,  -1.38,   0.00,   0
1994, 2, 9,  28.28,  -0.24,  -1.21,   0.00,   0
1994, 2,10,  28.53,  -0.01,  -0.96,   0.00,   0
1994, 2,11,  28.95,   0.39,  -0.54,   0.00,   0
1994, 2,12,  28.72,   0.15,  -0.77,   0.00,   0
1994, 2,13,  28.25,  -0.34,  -1.24,   0.00,   0
1994, 2,14,  27.54,  -1.07,  -1.95,   0.00,   0
1994, 2,15,  27.43,  -1.20,  -2.06,   0.00,   0
1994, 2,16,  27.27,  -1.38,  -2.22,   0.00,   0
1994, 2,17,  27.35,  -1.31,  -2.14,   0.00,   0
1994, 2,18,  27.82,  -0.86,  -1.67,   0.00,   0
1994, 2,19,  27.69,  -1.01,  -1.80,   0.00,   0
1994, 2,20,  27.74,  -0.97,  -1.75,   0.00,   0
1994, 2,21,  27.78,  -0.95,  -1.71,   0.00,   0
1994, 2,22,  27.73,  -1.01,  -1.76,   0.00,   0
1994, 2,23,  28.47,  -0.29,  -1.02,   0.00,   0
1994, 2,24,  28.74,  -0.04,  -0.75,   0.00,   0
1994, 2,25,  28.84,   0.05,  -0.65,   0.00,   0
1994, 2,26,  28.90,   0.09,  -0.59,   0.00,   0
1994, 2,27,  28.67,  -0.16,  -0.82,   0.00,   0
